soil_moisture,air_temp,rain_forecast,growth_phase,evapotranspiration,water_needed_liters,irrigation_urgency
68.92988274617304,33.69096481685346,11.616003008835769,Generatif,7.793666313716177,543.95,0.5
80.4088131978029,24.605088940336582,22.2010340128112,Panen,5.583159860680263,151.43,0.34
81.24332681044774,34.621558895151935,31.03261184896935,Vegetatif,6.190804198469758,337.23,0.02
46.36628593499637,31.035506642947713,45.75731286790507,Panen,7.163037552886418,217.41,0.23
78.74741434816234,34.18647865506898,0.7918005523062488,Vegetatif,7.039954668951609,592.16,0.43
18.116590440617053,24.1247124305305,10.628657908661376,Vegetatif,6.312329852157406,733.79,0.77
18.145553398942482,34.431316847539414,11.72252538806452,Vegetatif,5.00153725624385,835.93,0.86
53.8613557493984,25.4416502300792,16.33063401308971,Generatif,3.639241329384373,499.82,0.53
62.147569476501516,32.65461607670879,14.089331021033946,Panen,7.263294523612435,394.76,0.54
22.239502078272217,28.998256714654126,29.506939278111933,Panen,6.65993265342383,454.03,0.39
47.77440358447944,32.17286869317509,44.28101321273727,Generatif,7.027441711750875,381.96,0.23
17.549013425273845,31.53827685212837,31.848892053619473,Vegetatif,2.844735908883225,634.21,0.44
58.16795884426483,25.960758564806902,12.076327947717957,Semai,3.888877269135648,376.15,0.51
78.40752294022784,30.175365173370622,43.18764250350423,Semai,4.549310227397907,62.27,0.0
69.0111180815619,27.32676567833449,31.602289457375665,Generatif,7.030111833803364,323.51,0.04
40.2633241943417,30.725242114176147,10.948106249395078,Semai,7.357320036287933,522.68,0.67
89.50350373096973,32.85603939663413,18.08332685832516,Vegetatif,3.709356285531718,384.27,0.35
63.03479811729094,24.975100974982055,39.49824033698913,Vegetatif,6.1185750035945885,280.79,0.07
75.21987475539832,30.189149082372303,36.94655907435571,Panen,2.46688523691538,117.2,0.03
63.575790983338614,31.4115578491471,28.82911847528213,Vegetatif,4.457439631812567,427.75,0.12
89.15330328697013,27.544409443166565,7.2383751370280915,Vegetatif,4.92001464651131,403.04,0.31
75.70878137742183,35.436041793552086,40.16446486572521,Vegetatif,6.593796889394695,305.95,0.07
51.553857431635244,30.243633906081953,15.377126427637405,Semai,7.3518334210227225,418.34,0.59
39.350365027007186,26.190205078151195,38.57989694995812,Semai,4.023699414946737,241.35,0.24
64.5723863319074,25.29345914159141,32.378318288112936,Generatif,5.166433339651408,300.45,0.06
57.217744704560715,30.499914589984385,13.20851408217591,Generatif,5.884689334205145,552.27,0.55
60.34804728220362,28.502860573523147,10.618461406632834,Semai,3.972123373680888,398.8,0.52
37.44094130270056,26.310565173220617,6.5454961628859385,Panen,7.913229279044266,517.52,0.66
44.29827364564436,24.368381841429294,12.097311829405788,Panen,7.2546462774201474,415.0,0.59
54.64772599125198,30.79920096045456,7.891451122456999,Semai,3.7784169731996995,485.14,0.57
77.14267215374744,31.183202842003944,30.85256238938757,Generatif,5.04767738599429,316.98,0.02
71.03271342103226,25.70163121417762,29.939155948862677,Panen,3.3850436794834664,169.13,0.02
19.492469640223227,31.220856597243653,29.30860300663986,Vegetatif,5.087023513420009,621.39,0.42
29.644340001551342,35.42367305649118,32.09449046124192,Panen,6.09999406893971,438.03,0.39
12.132617994642194,35.73954731987688,40.739226698228315,Panen,2.5131265567579266,464.78,0.51
10.636845437247313,34.66191523868406,45.67763557749017,Panen,7.220703228843631,434.21,0.51
27.95003754241934,33.684942970028885,11.518776895088106,Generatif,5.5624752106795015,741.23,0.79
73.94567584074636,26.512414040559975,29.388724508446284,Generatif,7.93761739146201,313.16,0.0
82.37981265395096,25.877222189951162,3.916811062363573,Semai,2.1535490434970193,305.93,0.34
41.341469271887846,29.33937122742425,6.007121917779756,Panen,6.988990106589393,530.82,0.66
55.05588772853429,31.435581015822628,32.716965648069525,Generatif,6.7517782895272855,431.35,0.18
66.48420815643047,34.208144208100535,24.32902808452254,Generatif,2.797115072240194,486.76,0.52
86.23493594013812,26.78355649364162,37.91660434172169,Semai,4.01183381050044,24.22,0.0
83.03457898379453,29.75577480624399,21.283874049528567,Vegetatif,7.308777218265036,369.31,0.37
14.575384270510394,31.76928290348215,6.379920341646905,Vegetatif,5.110725770433525,840.65,0.86
29.853267456742465,29.34712625441303,43.602682691541276,Panen,4.407688924803434,290.64,0.34
13.931563516414167,29.45032412495141,4.144423557266114,Vegetatif,7.432978593505051,852.4,0.85
